,bedroom,price,area,Floor,property_type,locality,City,furnish_type,Tenant Preferred,bathroom,seller_type,price_per_sqft,bed_bath_ratio,price_log,rent_category
count,4746.0,4746.0,4746.0,4746,4746,4746,4746,4746,4746,4746.0,4746,4746.0,4746.0,4746.0,4746
unique,,,,480,3,2235,6,3,3,,3,,,,5
top,,,,1 out of 2,Super Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,,Contact Owner,,,,Very Low
freq,,,,379,2446,37,972,2251,3444,,3216,,,,1022
mean,2.0838600927096502,34993.45132743363,967.4907290349768,,,,,,,1.965865992414665,,39.25708721236472,1.1203228784157186,9.87821326002065,
std,0.8322558984634467,78106.4129373483,634.2023275120673,,,,,,,0.8845316658055165,,59.85522960720758,0.37144441013751645,0.9365952911466956,
min,1.0,1200.0,10.0,,,,,,,1.0,,0.571428571,0.1,7.090909822,
25%,2.0,10000.0,550.0,,,,,,,1.0,,13.33333333,1.0,9.210440367,
50%,2.0,16000.0,850.0,,,,,,,2.0,,20.0,1.0,9.680406499,
75%,3.0,33000.0,1200.0,,,,,,,2.0,,42.005986140000005,1.0,10.40429314,
max,6.0,3500000.0,8000.0,,,,,,,10.0,,1500.0,4.0,15.06827381,
